gene_id	colors
ATP8A2P1	yellow
LINC00993	yellow
VN1R53P	yellow
ANKRD30A	yellow
TACC1P1	yellow
LINC00839	blue
RET	yellow
CXCL12	turquoise
C10orf10	turquoise
RASSF4	blue
ALOX5.1	blue
ANTXRL	turquoise
CH17-335B8.4	green
ANXA8L1	green
GPRIN2	green
GDF10	turquoise
ANXA8	green
FRMPD2	yellow
WDFY4	blue
VSTM4	turquoise
C10orf128	turquoise
OGDHL	brown
DKK1	brown
BICC1	turquoise
FAM13C	turquoise
CDK1	brown
TMEM26	turquoise
EGR2	turquoise
MYPN	grey
SRGN	turquoise
PALD1	turquoise
PRF1	blue
ADAMTS14	blue
VSIR	turquoise
CDH23	turquoise
SPOCK2	blue
SYNPO2L	turquoise
PLAU	turquoise
MAT1A	black
GRID1	turquoise
SNCG	turquoise
MMRN2	turquoise
RP11-96C23.15	turquoise
ADIRF	turquoise
ACTA2-AS1	turquoise
ACTA2	turquoise
PPP1R3C	turquoise
CEP55	brown
RBP4	turquoise
FFAR4	turquoise
SORBS1	turquoise
CRTAC1	turquoise
LOXL4	turquoise
HPSE2	turquoise
SCD	grey
PAX2	yellow
TLX1	brown
KCNIP2-AS1	turquoise
KCNIP2	turquoise
INA	brown
MIR936	turquoise
COL17A1	turquoise
SORCS1	turquoise
ADRA2A	turquoise
GPAM	turquoise
HABP2	grey
PLEKHS1	turquoise
ADRB1	turquoise
TDRD1	grey
VWA2	turquoise
ATRNL1	grey
GFRA1	turquoise
C10orf82	yellow
EMX2OS	turquoise
EMX2	turquoise
PLPP4	blue
HTRA1	turquoise
DMBT1	grey
CPXM2	turquoise
NKX1-2	green
C10orf90	turquoise
MKI67	brown
EBF3	turquoise
DPYSL4	turquoise
CFAP46	yellow
KNDC1	yellow
VENTX	turquoise
RP11-326C3.2	blue
IFITM5	grey
IFITM1	blue
CRACR2B	red
MUC6.3	grey
MUC2.1	grey
MUC5AC.1	grey
RP11-532E4.2	brown
MUC5B	grey
SYT8	blue
TNNI2	blue
MIR7847	blue
PRR33	blue
LSP1	blue
TNNT3	turquoise
H19_1.1	turquoise
MIR675	turquoise
H19_2.1	turquoise
H19	turquoise
AC132217.4	turquoise
IGF2	turquoise
IGF2-AS	turquoise
INS-IGF2	turquoise
TH	red
C11orf21	blue
TSPAN32	blue
KCNQ1OT1	blue
CDKN1C.1	turquoise
OR51E1	turquoise
HBB	turquoise
OR52Q1P	grey
CCKBR	brown
PRKCDBP	turquoise
HPX	yellow
RP11-732A19.5	turquoise
RP11-732A19.6	turquoise
DCHS1	turquoise
GVINP1	blue
SYT9	yellow
OLFML1	turquoise
OVCH2	turquoise
RIC3	turquoise
SCUBE2	yellow
LYVE1	turquoise
MRVI1	turquoise
DKK3	turquoise
LINC00958	turquoise
RASSF10	turquoise
SPON1	turquoise
PDE3B	turquoise
KCNJ11	yellow
ABCC8	yellow
SAA4	turquoise
RNA5SP333	turquoise
SAA2-SAA4	turquoise
SAA2	turquoise
SAA1	turquoise
E2F8	brown
ANO5	turquoise
LUZP2	turquoise
MUC15	grey
ANO3	turquoise
FIBIN	turquoise
BBOX1	turquoise
MPPED2	turquoise
WT1	brown
WT1-AS	brown
KIAA1549L	turquoise
LMO2	turquoise
ELF5	green
EHF	grey
PAMR1	turquoise
LRRC4C	turquoise
C11orf96	turquoise
RP11-613D13.8	turquoise
ALX4	turquoise
TSPAN18	turquoise
SYT13	yellow
CHST1	turquoise
CREB3L1	turquoise
SPI1	blue
APLNR	turquoise
SERPING1	turquoise
GLYAT	turquoise
GLYATL2	blue
FAM111B	brown
MPEG1	blue
FABP5P7	turquoise
TCN1	grey
MS4A2	turquoise
MS4A6A	blue
MS4A4A	blue
MS4A7	blue
MS4A14	blue
MS4A1	blue
MS4A15	grey
CD6	blue
SCGB2A1	turquoise
SCGB1D2	turquoise
SCGB2A2	turquoise
LRRN4CL	turquoise
CHRM1	blue
HRASLS5	turquoise
LGALS12	turquoise
SLC22A12	turquoise
NRXN2	turquoise
RASGRP2	blue
SPDYC	brown
CD248	turquoise
GSTP1	turquoise
ALDH3B2	red
GAL	brown
RP11-554A11.5	turquoise
MRGPRF	turquoise
MYEOV	turquoise
RP11-211G23.2	grey
AP000439.3	yellow
RP11-626H12.1	turquoise
ANO1-AS1	turquoise
ANO1	turquoise
FOLR1	green
FOLR2	turquoise
RP11-169D4.2	turquoise
PDE2A	turquoise
PLEKHB1	blue
KCNE3	turquoise
SLCO2B1	blue
MOGAT2	turquoise
DGAT2	turquoise
