node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
9606.ENSP00000267935,9.223372036854777E13,1.1951,29.0,29.0,41.095,1.0,0.2,193.18333,4.01727,87.92497,1592.0,0.90148,
9606.ENSP00000357679,9.223372036854777E13,1.07738,33.0,35.0,91.211,6.0,0.2,207.93333,4.1881,1189.71047,11244.0,0.69076,
9606.ENSP00000379204,9.0,0.2842,4.0,7.0,13.062,1.0,0.25,187.83333,4.06334,330.66212,2796.0,0.14286,
9606.ENSP00000229335,332.0,0.51877,10.0,12.0,28.265,3.0,0.2,192.25,4.08637,344.4792,3664.0,0.39394,
9606.ENSP00000300589,26163.0,0.67697,13.0,16.0,35.446,1.0,0.2,198.83333,4.17466,329.86164,3888.0,0.44167,
9606.ENSP00000424198,9.223372036854777E13,1.22351,28.0,28.0,43.877,1.0,0.2,192.88333,4.01919,336.39257,3602.0,0.93386,
9606.ENSP00000253413,9.223372036854777E13,1.2565,31.0,32.0,84.121,3.0,0.2,211.13333,4.25336,775.73086,9060.0,0.86895,
9606.ENSP00000368799,9.223372036854777E13,1.22351,28.0,29.0,43.136,2.0,0.2,192.75,4.00576,1287.56979,9988.0,0.86946,
9606.ENSP00000369647,9.223372036854777E13,0.80168,35.0,36.0,103.996,4.0,0.2,230.55,4.49712,2343.51689,57090.0,0.53651,
9606.ENSP00000346671,4066311.0,0.34313,37.0,40.0,81.811,18.0,0.25,247.58333,4.7025,5733.53866,71040.0,0.20385,
9606.ENSP00000442837,9.9632373241E10,0.87818,20.0,21.0,52.519,1.0,0.2,204.48333,4.19578,413.96781,7278.0,0.68095,
9606.ENSP00000219302,50.0,0.58344,5.0,7.0,4.765,7.0,0.2,172.05,3.79655,1422.35421,13696.0,0.47619,
9606.ENSP00000497744,32.0,0.56839,4.0,9.0,3.306,3.0,0.16667,153.51667,3.3762,2342.56961,18936.0,0.25,
9606.ENSP00000475615,3.0076550421842E13,0.94622,28.0,30.0,80.44,2.0,0.2,214.2,4.33973,2036.83433,29020.0,0.62759,
9606.ENSP00000384906,9.223372036854777E13,0.59617,46.0,46.0,92.375,16.0,0.2,228.03333,4.40115,3391.14847,43344.0,0.38647,
9606.ENSP00000297313,9.963233352E10,0.96229,18.0,18.0,45.071,3.0,0.2,192.33333,4.04223,67.86423,2726.0,0.85621,
9606.ENSP00000314615,9.223372036854777E13,0.66567,32.0,33.0,83.056,8.0,0.2,207.71667,4.19002,2297.99575,34024.0,0.45644,
9606.ENSP00000415139,18.0,0.45378,5.0,5.0,9.384,1.0,0.2,170.88333,3.79271,62.45096,1444.0,0.7,
9606.ENSP00000356233,4.0,0.30779,2.0,4.0,11.259,1.0,0.25,183.0,3.98656,49.57867,582.0,0.16667,
9606.ENSP00000254508,9.223372036854777E13,1.1601,32.0,33.0,89.818,2.0,0.2,205.66667,4.16123,928.12733,11030.0,0.79545,
9606.ENSP00000274458,9.223372036854777E13,1.1951,29.0,29.0,42.99,1.0,0.2,193.18333,4.01727,87.92497,1592.0,0.90148,
9606.ENSP00000378483,9.963237336E10,0.78338,22.0,22.0,61.1,1.0,0.2,204.81667,4.19386,307.01625,7616.0,0.64935,
9606.ENSP00000424183,9.223372036854777E13,1.32545,30.0,32.0,85.634,1.0,0.2,218.81667,4.3762,2710.02959,42724.0,0.86895,
9606.ENSP00000377015,9.223372036854777E13,0.96107,38.0,38.0,108.983,3.0,0.2,241.26667,4.61228,971.53352,23214.0,0.66287,
