node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
9606.ENSP00000370078,6.266937601E9,0.97144,15.0,16.0,78.944,5.0,0.16667,100.86667,4.5342,471.4553,4444.0,0.80833,
9606.ENSP00000354724,3.9957124E7,0.72071,14.0,14.0,71.695,2.0,0.2,103.1,4.66124,490.304,3366.0,0.7033,
9606.ENSP00000443256,91.0,0.5854,7.0,8.0,43.119,1.0,0.2,100.21667,4.63192,184.92345,1686.0,0.57143,
9606.ENSP00000377148,9.223372036854777E13,0.99481,21.0,21.0,108.596,3.0,0.2,118.25,5.02606,134.95104,1866.0,0.8381,
9606.ENSP00000321706,122.0,0.52304,6.0,6.0,24.647,1.0,0.16667,95.31667,4.53094,286.565,2930.0,0.73333,
9606.ENSP00000340691,8.0,0.46346,3.0,5.0,41.681,2.0,0.2,105.95,4.86645,474.45779,2116.0,0.4,
9606.ENSP00000283285,721.0,0.71324,6.0,7.0,32.203,2.0,0.16667,92.23333,4.33876,234.74846,932.0,0.71429,
9606.ENSP00000447053,9.223372036854777E13,1.11901,19.0,20.0,107.091,3.0,0.2,116.51667,5.0,701.36108,3200.0,0.87895,
9606.ENSP00000451300,10.0,0.37893,4.0,6.0,45.344,1.0,0.2,107.78333,4.89902,467.78513,3274.0,0.26667,
9606.ENSP00000418081,9.223372036854777E13,1.26073,25.0,25.0,110.134,1.0,0.16667,105.46667,4.54723,0.0,0.0,1.0,
9606.ENSP00000308750,3.9957121E7,0.90737,12.0,13.0,63.902,1.0,0.2,96.83333,4.45277,83.68863,424.0,0.79487,
9606.ENSP00000430075,3.9916801E7,0.93324,11.0,12.0,70.576,1.0,0.16667,89.86667,4.08469,579.74303,4312.0,0.83333,
9606.ENSP00000360154,9.223372036854777E13,0.89305,22.0,23.0,108.749,4.0,0.2,121.78333,5.11075,1483.57257,7580.0,0.67589,
9606.ENSP00000331614,21.0,0.29157,8.0,9.0,49.604,8.0,0.2,110.3,4.95114,1074.28646,6198.0,0.27778,
9606.ENSP00000309968,4.0,0.0,1.0,4.0,27.56,1.0,0.2,96.85,4.58306,185.83377,978.0,0.0,
9606.ENSP00000293872,78.0,0.54881,7.0,7.0,25.736,2.0,0.16667,92.16667,4.36482,78.15373,724.0,0.71429,
9606.ENSP00000418401,4.0,0.30779,2.0,4.0,36.988,1.0,0.16667,96.68333,4.5798,124.00519,742.0,0.16667,
9606.ENSP00000359727,8.717833152E10,0.98146,15.0,15.0,94.248,1.0,0.2,111.65,4.90879,77.77211,1134.0,0.93333,
9606.ENSP00000336747,362890.0,0.5237,13.0,13.0,79.013,1.0,0.2,114.11667,5.02606,785.20002,4074.0,0.52564,
9606.ENSP00000366819,9.0,0.37893,4.0,5.0,36.179,1.0,0.16667,99.75,4.65147,141.05602,1090.0,0.4,
9606.ENSP00000425031,27.0,0.56839,4.0,7.0,35.652,2.0,0.16667,101.23333,4.65147,366.26556,1992.0,0.28571,
9606.ENSP00000371037,9.223372036854777E13,1.26073,25.0,25.0,109.884,1.0,0.16667,105.46667,4.54723,0.0,0.0,1.0,
9606.ENSP00000245934,38.0,0.47549,6.0,8.0,36.378,3.0,0.16667,101.38333,4.65147,1004.44613,5406.0,0.35714,
9606.ENSP00000310491,362887.0,0.7582,10.0,11.0,69.571,2.0,0.2,110.03333,4.92508,302.80283,1484.0,0.69091,
9606.ENSP00000376609,45.0,0.25931,5.0,16.0,57.226,6.0,0.2,109.91667,4.88599,1190.95921,8914.0,0.125,
9606.ENSP00000234371,18.0,0.42794,6.0,6.0,31.88,1.0,0.2,97.8,4.59935,13.0668,308.0,0.6,
9606.ENSP00000347408,1.307674368122E12,0.71237,20.0,20.0,101.87,2.0,0.16667,112.45,4.88925,796.19685,6696.0,0.61053,
9606.ENSP00000374309,121.0,0.64826,5.0,6.0,7.295,2.0,0.16667,78.06667,3.71987,537.18824,1648.0,0.66667,
9606.ENSP00000233710,1470.0,0.49207,11.0,11.0,27.407,5.0,0.2,95.9,4.46906,430.81707,3050.0,0.52727,
9606.ENSP00000324532,120.0,0.64826,5.0,5.0,6.004,1.0,0.14286,71.98095,3.38111,0.0,0.0,1.0,
9606.ENSP00000301454,30.0,0.42794,6.0,6.0,15.816,1.0,0.16667,85.55,4.10098,116.72575,924.0,0.6,
9606.ENSP00000309052,9.223372036854777E13,1.26073,25.0,26.0,110.167,1.0,0.16667,111.46667,4.72313,1411.78146,4034.0,0.92308,
9606.ENSP00000414851,720.0,0.71324,6.0,6.0,15.532,1.0,0.16667,86.45,4.16612,0.0,0.0,1.0,
9606.ENSP00000500891,3.0,0.30779,2.0,3.0,9.129,1.0,0.16667,80.41667,3.91205,46.15034,220.0,0.33333,
9606.ENSP00000297540,125.0,0.52304,6.0,9.0,35.733,3.0,0.16667,99.66667,4.53094,1340.93953,7174.0,0.30556,
9606.ENSP00000222005,8.7178699465E10,0.53152,24.0,25.0,106.382,25.0,0.2,131.56667,5.34528,4506.1822,29156.0,0.39333,
9606.ENSP00000337500,3.9957242E7,0.7545,14.0,14.0,70.942,2.0,0.2,107.18333,4.78176,344.1717,3322.0,0.73626,
9606.ENSP00000282412,362880.0,0.85919,9.0,9.0,53.993,1.0,0.2,103.5,4.77524,0.0,0.0,1.0,
9606.ENSP00000378578,724.0,0.5854,7.0,9.0,28.998,6.0,0.2,100.26667,4.64169,1137.06511,5084.0,0.44444,
9606.ENSP00000257245,4.0,0.30779,2.0,4.0,9.596,2.0,0.16667,85.61667,4.15961,342.71199,1172.0,0.16667,
9606.ENSP00000290039,9.223372036854777E13,1.26073,25.0,25.0,108.453,1.0,0.16667,105.46667,4.54723,0.0,0.0,1.0,
9606.ENSP00000261973,127.0,0.5012,9.0,10.0,32.395,2.0,0.16667,95.1,4.42997,260.56822,1860.0,0.46667,
9606.ENSP00000292408,33.0,0.36588,7.0,8.0,36.957,4.0,0.2,103.35,4.77524,386.79821,3074.0,0.35714,
9606.ENSP00000300692,754.0,0.30405,14.0,18.0,61.145,8.0,0.2,117.4,5.01954,3323.52645,20112.0,0.18301,
9606.ENSP00000417573,9.223372036854777E13,1.11901,19.0,19.0,107.548,1.0,0.2,114.2,4.94463,4.2653,134.0,0.97661,
9606.ENSP00000324203,1.307674368007E12,0.95127,16.0,21.0,97.19,7.0,0.16667,116.6,4.99674,2278.038,12320.0,0.51429,
9606.ENSP00000348753,24.0,0.56839,4.0,4.0,26.528,1.0,0.16667,90.76667,4.37459,0.0,0.0,1.0,
9606.ENSP00000365944,1.307674408322E12,0.91478,17.0,17.0,96.86,2.0,0.2,112.58333,4.95114,214.34242,2546.0,0.83088,
9606.ENSP00000386069,5042.0,0.64146,8.0,8.0,56.813,1.0,0.16667,96.9,4.48208,100.35558,2422.0,0.78571,
9606.ENSP00000216133,3.995712E7,0.90737,12.0,12.0,59.019,1.0,0.2,96.0,4.443,9.11205,118.0,0.93939,
9606.ENSP00000373450,8.7178331522E10,0.88845,16.0,16.0,98.887,1.0,0.2,117.06667,5.08143,299.12891,4620.0,0.825,
9606.ENSP00000263918,362880.0,0.85919,9.0,9.0,56.255,1.0,0.2,103.5,4.77524,0.0,0.0,1.0,
9606.ENSP00000356015,1446.0,0.64146,8.0,8.0,26.423,1.0,0.16667,91.8,4.32573,80.16466,706.0,0.78571,
9606.ENSP00000243052,6.2669376E9,0.97144,15.0,15.0,80.177,1.0,0.14286,94.30952,4.2443,39.39868,1858.0,0.92381,
9606.ENSP00000356256,26.0,0.45378,5.0,5.0,13.088,1.0,0.16667,84.6,4.11075,104.09017,732.0,0.7,
9606.ENSP00000427793,18.0,0.38039,6.0,6.0,35.067,1.0,0.2,100.5,4.6873,217.45764,2214.0,0.53333,
9606.ENSP00000336666,9.223372036854777E13,0.99481,21.0,21.0,108.689,1.0,0.2,118.25,5.02606,134.95104,1866.0,0.8381,
9606.ENSP00000376945,1.30767440832E12,1.00511,16.0,16.0,90.316,1.0,0.2,112.08333,4.94788,92.68485,1686.0,0.93333,
9606.ENSP00000261842,9.223372036854777E13,0.9722,21.0,21.0,109.954,1.0,0.2,118.58333,5.03583,245.97312,2288.0,0.81905,
9606.ENSP00000423630,8.0,0.37893,4.0,4.0,38.844,1.0,0.2,98.06667,4.60261,27.54184,302.0,0.66667,
9606.ENSP00000355847,6.26693772E9,0.90639,16.0,16.0,80.239,1.0,0.16667,95.73333,4.29316,109.31133,2322.0,0.84167,
9606.ENSP00000320866,21.0,0.23866,9.0,10.0,66.249,6.0,0.2,118.91667,5.19544,985.41623,6354.0,0.22222,
9606.ENSP00000244709,2.0,0.0,1.0,2.0,5.678,1.0,0.14286,74.31905,3.60912,11.36174,84.0,0.0,
9606.ENSP00000393840,9.223372036854777E13,1.10097,17.0,17.0,104.499,1.0,0.2,111.18333,4.87296,0.0,0.0,1.0,
9606.ENSP00000432459,9.223372036854777E13,1.26073,25.0,25.0,109.94,1.0,0.16667,105.46667,4.54723,0.0,0.0,1.0,
9606.ENSP00000254998,3.0,0.0,1.0,3.0,8.267,2.0,0.16667,81.83333,3.91531,400.98203,1112.0,0.0,
9606.ENSP00000386636,79.0,0.51223,7.0,8.0,36.643,2.0,0.16667,100.65,4.66775,276.31493,1818.0,0.5,
9606.ENSP00000365016,12.0,0.46346,3.0,8.0,36.523,7.0,0.2,108.3,4.95114,1811.05294,9654.0,0.17857,
9606.ENSP00000285021,8.0,0.2842,4.0,6.0,30.048,1.0,0.16667,90.6,4.27362,365.29264,2482.0,0.26667,
9606.ENSP00000384211,62.0,0.20641,16.0,16.0,61.681,8.0,0.2,111.95,4.88274,1060.61596,7562.0,0.19167,
9606.ENSP00000440402,4.0,0.30779,2.0,4.0,13.426,1.0,0.16667,83.36667,3.99023,286.94525,1124.0,0.16667,
9606.ENSP00000294016,6.227031126E9,0.63306,21.0,21.0,91.221,8.0,0.16667,112.98333,4.84365,1117.90197,18522.0,0.53333,
9606.ENSP00000377001,11.0,0.32413,5.0,6.0,38.5,1.0,0.2,101.46667,4.68404,241.58946,1524.0,0.33333,
9606.ENSP00000269214,3.0,0.0,1.0,3.0,5.682,1.0,0.16667,77.65,3.7785,142.05574,522.0,0.0,
9606.ENSP00000005178,24.0,0.42794,6.0,6.0,17.673,1.0,0.2,87.8,4.24104,126.3103,1212.0,0.6,
