node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
9606.ENSP00000242776,13684.0,0.65857,12.0,14.0,107.557,7.0,0.16667,106.23333,6.68852,764.46861,5660.0,0.49451,
9606.ENSP00000378914,1681.0,0.66826,9.0,10.0,57.099,1.0,0.16667,94.3,6.38689,244.35316,1532.0,0.62222,
9606.ENSP00000261837,2.2230627552122E13,0.7609,31.0,31.0,124.567,23.0,0.2,118.31667,6.90164,2566.67986,27776.0,0.56129,
9606.ENSP00000330898,10.0,0.32413,5.0,5.0,5.472,2.0,0.125,67.34762,5.08852,658.41497,5774.0,0.5,
9606.ENSP00000337168,1.307674368002E12,0.95127,16.0,16.0,100.086,1.0,0.16667,98.13333,6.40328,473.63002,13098.0,0.88333,
9606.ENSP00000336750,3628802.0,0.78053,11.0,11.0,73.17,4.0,0.16667,89.78333,6.13115,174.68075,1382.0,0.83636,
9606.ENSP00000353512,725760.0,0.87792,10.0,10.0,25.45,1.0,0.14286,78.19524,5.57377,19.68332,384.0,0.97778,
9606.ENSP00000359295,3628801.0,0.89787,10.0,11.0,70.91,2.0,0.14286,85.50238,5.9377,263.71846,958.0,0.81818,
9606.ENSP00000370517,2784.0,0.60034,13.0,13.0,101.738,1.0,0.16667,100.46667,6.5541,252.30682,2508.0,0.60256,
9606.ENSP00000348848,122.0,0.64826,5.0,7.0,45.621,1.0,0.14286,88.48095,6.14754,336.14652,1746.0,0.52381,
9606.ENSP00000263697,120.0,0.64826,5.0,5.0,72.136,1.0,0.16667,87.38333,6.08525,0.0,0.0,1.0,
9606.ENSP00000399718,3628800.0,0.89787,10.0,10.0,66.798,1.0,0.14286,83.58571,5.87213,0.0,0.0,1.0,
9606.ENSP00000398629,2.223062755212E13,0.80143,30.0,30.0,124.933,1.0,0.2,114.1,6.80656,927.30534,23392.0,0.5977,
9606.ENSP00000343158,1.307674368E12,1.05156,15.0,15.0,98.192,1.0,0.14286,92.9381,6.19016,0.0,0.0,1.0,
9606.ENSP00000232975,80646.0,0.73825,10.0,10.0,79.788,1.0,0.14286,92.80238,6.31803,100.91205,898.0,0.82222,
9606.ENSP00000362578,7.0,0.2842,4.0,5.0,41.514,1.0,0.16667,91.31667,6.38361,185.60004,1176.0,0.3,
9606.ENSP00000361363,8.7178291209E10,0.84358,16.0,17.0,108.806,8.0,0.16667,108.53333,6.78689,1822.20242,9068.0,0.69118,
9606.ENSP00000393183,362880.0,0.85919,9.0,9.0,72.776,1.0,0.16667,101.05,6.71148,0.0,0.0,1.0,
9606.ENSP00000367900,970.0,0.45814,11.0,11.0,74.121,5.0,0.14286,95.70476,6.32787,1029.51023,10988.0,0.49091,
9606.ENSP00000377275,753.0,0.52506,9.0,12.0,80.303,4.0,0.16667,104.51667,6.68197,1880.09813,10230.0,0.34848,
9606.ENSP00000311469,9.223372036854777E13,1.10097,17.0,17.0,99.804,1.0,0.14286,93.36905,6.19672,0.0,0.0,1.0,
9606.ENSP00000476948,6.0,0.46346,3.0,3.0,2.869,1.0,0.11111,55.26389,4.09836,0.0,0.0,1.0,
9606.ENSP00000320180,2.0922789888002E13,1.0769,16.0,18.0,118.435,5.0,0.16667,96.63333,6.28525,1783.19969,47232.0,0.79085,
9606.ENSP00000356231,24.0,0.33284,6.0,14.0,104.202,17.0,0.2,112.25,6.90492,5365.34231,101756.0,0.13187,
9606.ENSP00000295256,9.223372036854777E13,1.10097,17.0,18.0,103.058,11.0,0.16667,101.0,6.52459,1909.27583,4938.0,0.88889,
9606.ENSP00000361927,1.597692E7,0.85126,15.0,15.0,113.628,1.0,0.16667,99.63333,6.43934,22.67029,350.0,0.80952,
9606.ENSP00000216392,841.0,0.69516,7.0,8.0,80.994,4.0,0.16667,101.61667,6.67869,1606.93649,9504.0,0.67857,
9606.ENSP00000294168,3628802.0,0.78053,11.0,11.0,74.013,1.0,0.14286,86.76905,5.96393,47.2813,414.0,0.83636,
9606.ENSP00000265080,3.9916804E7,0.72807,13.0,13.0,108.707,2.0,0.16667,98.98333,6.47869,807.1113,30764.0,0.73077,
9606.ENSP00000241337,9.223372036854777E13,1.10097,17.0,17.0,101.613,1.0,0.14286,93.36905,6.19672,0.0,0.0,1.0,
9606.ENSP00000421592,8100608.0,0.6267,22.0,22.0,119.725,1.0,0.16667,107.36667,6.58689,896.67055,7374.0,0.51948,
9606.ENSP00000316114,3628810.0,0.63865,13.0,13.0,83.334,1.0,0.16667,91.75,6.18033,288.67072,2350.0,0.64103,
9606.ENSP00000373331,2.0,0.30779,2.0,2.0,3.859,1.0,0.125,63.88333,4.94426,0.0,0.0,1.0,
9606.ENSP00000352438,1.5979927E7,0.71254,18.0,19.0,117.735,5.0,0.16667,109.93333,6.80984,1384.60565,10392.0,0.56725,
9606.ENSP00000196371,84.0,0.41901,10.0,10.0,77.844,5.0,0.14286,100.71905,6.65574,318.61927,2560.0,0.46667,
9606.ENSP00000452762,173.0,0.47733,9.0,14.0,95.78,11.0,0.16667,117.08333,7.08852,5045.7022,27314.0,0.21978,
9606.ENSP00000327246,2.0922789888E13,1.0769,16.0,16.0,117.223,1.0,0.16667,94.3,6.2459,0.0,0.0,1.0,
9606.ENSP00000367214,1.307674368E12,1.05156,15.0,15.0,95.721,1.0,0.14286,92.9381,6.19016,0.0,0.0,1.0,
9606.ENSP00000360268,491.0,0.52506,9.0,12.0,86.562,6.0,0.16667,101.41667,6.6459,1328.8085,7072.0,0.33333,
9606.ENSP00000360021,2.2230627552E13,0.83592,29.0,29.0,125.134,1.0,0.2,110.83333,6.72459,460.22351,15338.0,0.63054,
9606.ENSP00000233954,2.0,0.0,1.0,2.0,8.928,2.0,0.14286,72.82143,5.52459,255.24369,1038.0,0.0,
9606.ENSP00000398882,10.0,0.37893,4.0,6.0,64.895,2.0,0.14286,99.86905,6.6623,1019.49948,6500.0,0.26667,
9606.ENSP00000361914,10.0,0.32413,5.0,5.0,48.855,1.0,0.14286,90.86905,6.3541,65.99071,550.0,0.5,
9606.ENSP00000376297,768.0,0.32657,14.0,16.0,94.018,14.0,0.16667,112.88333,6.88197,5146.08366,24966.0,0.24167,
9606.ENSP00000475727,2.0,0.0,1.0,2.0,13.756,1.0,0.16667,77.25,5.80328,166.91305,620.0,0.0,
9606.ENSP00000293860,3.0,0.30779,2.0,3.0,10.686,3.0,0.14286,68.86905,5.18689,571.88777,3616.0,0.33333,
9606.ENSP00000359837,3628802.0,0.78053,11.0,11.0,75.422,1.0,0.14286,89.81905,6.10492,139.38357,1000.0,0.83636,
9606.ENSP00000360028,9.223372036854777E13,1.10097,17.0,17.0,102.827,1.0,0.14286,93.36905,6.19672,0.0,0.0,1.0,
9606.ENSP00000244174,5.0,0.30779,2.0,5.0,11.186,2.0,0.125,70.51905,5.17705,209.1954,1106.0,0.1,
9606.ENSP00000377262,5760.0,0.75809,8.0,8.0,87.479,1.0,0.16667,88.13333,6.08197,0.44444,4.0,0.92857,
9606.ENSP00000464036,968.0,0.51877,10.0,10.0,69.641,1.0,0.14286,94.07143,6.2918,585.83148,6708.0,0.57778,
9606.ENSP00000358547,1.307674368001E12,1.05156,15.0,16.0,100.378,1.0,0.14286,101.26905,6.49508,1597.60071,5528.0,0.875,
9606.ENSP00000354623,1.307674368001E12,1.05156,15.0,16.0,98.101,2.0,0.14286,93.4381,6.19344,176.07957,788.0,0.875,
9606.ENSP00000476295,12.0,0.47366,4.0,4.0,37.594,1.0,0.14286,85.56905,6.15738,0.82886,10.0,0.83333,
