node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
9606.ENSP00000263339,9.223372036854777E13,0.93761,124.0,124.0,64.526,67.0,0.25,250.08333,4.11386,890.31959,34704.0,0.44519,
9606.ENSP00000267812,9.223372036854777E13,0.94959,21.0,22.0,2.854,1.0,0.25,165.91667,3.36139,330.61179,3004.0,0.72727,
9606.ENSP00000286317,9.223372036854777E13,1.12227,53.0,53.0,23.841,5.0,0.25,211.58333,3.89109,250.74149,14018.0,0.69521,
9606.ENSP00000221859,9.223372036854777E13,1.11557,58.0,58.0,18.554,3.0,0.25,203.91667,3.75495,293.94736,8572.0,0.67151,
9606.ENSP00000327801,9.223372036854777E13,1.04562,38.0,42.0,11.618,14.0,0.25,193.5,3.66584,1955.77066,21644.0,0.59001,
9606.ENSP00000262367,9.223372036854777E13,0.67703,69.0,69.0,38.936,7.0,0.33333,227.66667,4.05446,1133.38769,34070.0,0.38576,
9606.ENSP00000406549,9.223372036854777E13,1.08833,48.0,48.0,19.029,1.0,0.25,205.08333,3.81683,226.01663,8512.0,0.69592,
9606.ENSP00000263578,42480.0,0.72963,11.0,11.0,1.228,3.0,0.2,136.95,2.85149,47.91844,1258.0,0.78182,
9606.ENSP00000006053,9.223372036854777E13,1.19186,51.0,51.0,39.023,1.0,0.25,199.5,3.71287,35.95987,1958.0,0.74745,
9606.ENSP00000216037,6.781249681953E12,0.92082,29.0,30.0,27.285,1.0,0.25,202.08333,3.86139,173.85464,4868.0,0.64828,
9606.ENSP00000367346,83642.0,0.76102,12.0,14.0,2.346,5.0,0.25,157.83333,3.2401,1255.02178,21984.0,0.57143,
9606.ENSP00000365048,9.223372036854777E13,0.95608,66.0,66.0,44.25,1.0,0.25,209.5,3.79455,551.90743,13660.0,0.55245,
