node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
9606.ENSP00000312442,362884.0,0.73825,10.0,12.0,17.282,10.0,0.16667,139.43333,4.35792,2988.43517,15588.0,0.56061,
9606.ENSP00000494360,5522.0,0.35619,20.0,20.0,53.545,5.0,0.2,160.96667,4.78091,2487.01811,24008.0,0.30526,
9606.ENSP00000265872,3.0,0.0,1.0,3.0,4.078,1.0,0.16667,111.98333,3.61171,291.87342,1238.0,0.0,
9606.ENSP00000303978,80760.0,0.76356,11.0,11.0,18.726,1.0,0.16667,127.4,4.01302,229.83846,3630.0,0.81818,
9606.ENSP00000321388,362883.0,0.85919,9.0,12.0,13.945,5.0,0.16667,132.46667,4.15835,2605.07206,17288.0,0.54545,
9606.ENSP00000368314,40323.0,0.8164,8.0,11.0,23.329,7.0,0.16667,144.8,4.53796,1467.98868,7346.0,0.50909,
9606.ENSP00000231887,396.0,0.39667,17.0,17.0,41.825,6.0,0.2,147.11667,4.47505,975.27021,11372.0,0.36029,
9606.ENSP00000263461,720.0,0.71324,6.0,6.0,16.535,1.0,0.16667,129.51667,4.1757,0.0,0.0,1.0,
9606.ENSP00000260191,6.227020812E9,0.82122,15.0,15.0,30.839,10.0,0.16667,137.66667,4.27115,1216.18056,14690.0,0.78095,
9606.ENSP00000379330,6.0,0.30898,3.0,5.0,14.921,1.0,0.14286,128.92619,4.11063,643.89765,4262.0,0.2,
9606.ENSP00000170564,4.0,0.30898,3.0,3.0,2.851,1.0,0.14286,107.25952,3.44035,9.71866,60.0,0.66667,
9606.ENSP00000314733,2.0,0.0,1.0,2.0,8.006,1.0,0.16667,123.33333,4.05857,87.70899,450.0,0.0,
9606.ENSP00000251595,16.0,0.33284,6.0,6.0,20.977,3.0,0.16667,139.95,4.41649,814.41571,6442.0,0.46667,
9606.ENSP00000314976,6.0,0.46346,3.0,3.0,4.101,1.0,0.14286,96.02857,2.89588,0.0,0.0,1.0,
9606.ENSP00000334448,2884.0,0.26122,29.0,29.0,46.224,17.0,0.16667,165.05,4.76139,4461.38979,39330.0,0.19704,
9606.ENSP00000296220,721.0,0.71324,6.0,7.0,18.311,1.0,0.16667,135.61667,4.32321,223.13534,738.0,0.71429,
9606.ENSP00000358414,294.0,0.49882,10.0,10.0,37.192,1.0,0.2,142.1,4.42299,365.76424,4268.0,0.55556,
9606.ENSP00000263209,3.9916803E7,0.81956,12.0,13.0,22.912,6.0,0.2,137.93333,4.33189,1021.02538,3910.0,0.71795,
9606.ENSP00000407761,6.0,0.46346,3.0,3.0,13.292,1.0,0.16667,111.95,3.58134,0.0,0.0,1.0,
9606.ENSP00000365162,363001.0,0.7981,10.0,11.0,46.052,3.0,0.16667,147.06667,4.54013,393.09222,3864.0,0.72727,
9606.ENSP00000452522,40320.0,0.8164,8.0,8.0,22.971,1.0,0.16667,130.18333,4.14534,0.0,0.0,1.0,
9606.ENSP00000245816,32.0,0.22058,11.0,13.0,38.888,9.0,0.2,163.25,4.87852,3768.07382,24462.0,0.16667,
9606.ENSP00000350815,6.0,0.30779,2.0,6.0,23.216,6.0,0.2,154.81667,4.77657,2314.69901,16966.0,0.06667,
9606.ENSP00000327916,18.0,0.45378,5.0,5.0,23.323,1.0,0.16667,133.86667,4.24946,100.60778,1542.0,0.7,
9606.ENSP00000428787,362880.0,0.85919,9.0,9.0,11.848,1.0,0.16667,112.83333,3.52278,0.0,0.0,1.0,
9606.ENSP00000278947,41041.0,0.67872,11.0,12.0,27.278,4.0,0.16667,140.31667,4.40998,670.1362,4644.0,0.60606,
9606.ENSP00000495214,40322.0,0.8164,8.0,10.0,28.26,1.0,0.16667,148.56667,4.59219,2017.59141,10560.0,0.62222,
9606.ENSP00000368667,2.0,0.0,1.0,2.0,6.416,1.0,0.16667,126.41667,4.13883,155.76624,674.0,0.0,
9606.ENSP00000476815,3.0,0.0,1.0,3.0,11.186,1.0,0.16667,136.78333,4.37527,977.79892,4758.0,0.0,
9606.ENSP00000295488,3.0,0.0,1.0,3.0,3.689,2.0,0.14286,110.70952,3.52928,761.88397,2946.0,0.0,
9606.ENSP00000355155,6.22702092E9,0.92341,14.0,14.0,29.195,1.0,0.16667,135.9,4.25163,440.26147,6250.0,0.9011,
9606.ENSP00000335304,5460.0,0.40384,16.0,16.0,48.266,2.0,0.2,150.4,4.5705,1410.23668,10974.0,0.375,
9606.ENSP00000334216,8.71782912E10,1.02476,14.0,14.0,46.514,1.0,0.16667,142.63333,4.44685,0.0,0.0,1.0,
9606.ENSP00000338934,45.0,0.25452,11.0,20.0,43.719,20.0,0.2,177.0,5.09111,10320.0773,46022.0,0.08421,
9606.ENSP00000266987,3.99168E7,0.93324,11.0,11.0,21.506,1.0,0.16667,127.95,4.06941,0.0,0.0,1.0,
9606.ENSP00000484342,861840.0,0.74486,16.0,16.0,56.718,1.0,0.16667,145.68333,4.47722,103.30808,1986.0,0.69167,
9606.ENSP00000302625,9.0,0.37893,4.0,5.0,6.152,4.0,0.16667,113.76667,3.63774,482.54537,2406.0,0.4,
9606.ENSP00000304802,3.0,0.30779,2.0,3.0,8.209,1.0,0.16667,124.85,4.08026,173.32133,974.0,0.33333,
9606.ENSP00000344155,8.7178291201E10,1.02476,14.0,15.0,47.851,1.0,0.2,148.4,4.57484,1090.03587,5340.0,0.86667,
9606.ENSP00000282096,141.0,0.47564,7.0,12.0,24.634,8.0,0.16667,143.55,4.40564,2354.98681,14518.0,0.27273,
9606.ENSP00000370975,852480.0,0.76113,15.0,15.0,55.681,1.0,0.16667,145.01667,4.47289,82.9531,1654.0,0.72381,
9606.ENSP00000437125,1470.0,0.6123,8.0,30.0,57.75,64.0,0.2,197.43333,5.38178,26044.35733,160450.0,0.06897,
9606.ENSP00000497406,30.0,0.32073,8.0,10.0,23.56,2.0,0.2,151.48333,4.68547,2930.72029,18910.0,0.24444,
9606.ENSP00000300574,35.0,0.34989,8.0,13.0,36.387,10.0,0.16667,155.35,4.70065,3314.74568,18758.0,0.16667,
9606.ENSP00000216373,15.0,0.25611,7.0,8.0,27.731,4.0,0.16667,145.91667,4.57701,489.42208,3014.0,0.25,
9606.ENSP00000376167,3628921.0,0.83144,11.0,12.0,29.896,1.0,0.16667,144.6,4.49241,824.79641,5414.0,0.74242,
9606.ENSP00000337976,39.0,0.2864,9.0,10.0,21.858,2.0,0.16667,142.58333,4.43818,1399.58775,10140.0,0.26667,
9606.ENSP00000394936,1502.0,0.45368,12.0,12.0,37.168,1.0,0.16667,143.2,4.42299,501.57693,4610.0,0.4697,
9606.ENSP00000391669,32.0,0.34989,8.0,8.0,26.793,1.0,0.16667,145.4,4.54881,306.11039,2758.0,0.42857,
9606.ENSP00000263100,1441.0,0.73175,7.0,8.0,29.31,1.0,0.16667,133.11667,4.2039,375.89118,2016.0,0.71429,
9606.ENSP00000265641,250.0,0.49567,8.0,10.0,34.477,4.0,0.2,148.31667,4.58351,1440.58793,9612.0,0.37778,
