node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
9606.ENSP00000348849,9.223372036854777E13,1.72704,68.0,68.0,52.597,1.0,0.33333,119.83333,1.9949,0.83963,60.0,0.98859,
9606.ENSP00000369411,9.223372036854777E13,1.76639,93.0,93.0,105.889,3.0,0.5,144.5,2.4949,32.82886,3438.0,0.91678,
9606.ENSP00000431040,9.223372036854777E13,1.65115,71.0,71.0,57.854,6.0,0.5,133.5,2.38265,97.35137,9852.0,0.93239,
9606.ENSP00000215980,9.223372036854777E13,1.84246,101.0,101.0,110.212,1.0,0.33333,143.33333,2.37755,8.51013,772.0,0.93208,
9606.ENSP00000328228,9.223372036854777E13,1.84426,115.0,115.0,115.16,1.0,0.33333,150.66667,2.45918,18.68118,1710.0,0.89626,
9606.ENSP00000302530,9.223372036854777E13,1.85756,127.0,127.0,115.682,3.0,0.33333,157.33333,2.54082,27.62083,2496.0,0.87552,
9606.ENSP00000305480,9.223372036854777E13,1.81536,113.0,113.0,112.295,2.0,0.5,154.5,2.59694,137.00471,5100.0,0.88701,
9606.ENSP00000250024,9.223372036854777E13,1.8334,108.0,108.0,110.093,1.0,0.33333,147.66667,2.43878,14.46122,1334.0,0.90845,
9606.ENSP00000336868,9.223372036854777E13,1.82017,127.0,127.0,116.729,3.0,0.5,161.5,2.66837,295.04982,10992.0,0.85789,
9606.ENSP00000265748,9.223372036854777E13,1.8446,120.0,120.0,115.399,1.0,0.33333,153.66667,2.5,22.84802,2092.0,0.88473,
9606.ENSP00000260731,9.223372036854777E13,1.85756,127.0,127.0,115.556,1.0,0.33333,157.33333,2.54082,27.62083,2496.0,0.87552,
9606.ENSP00000240488,9.223372036854777E13,1.829,104.0,104.0,110.62,1.0,0.33333,145.66667,2.41837,11.98899,1134.0,0.91692,
9606.ENSP00000220514,9.223372036854777E13,1.84345,110.0,110.0,109.49,1.0,0.33333,148.83333,2.45408,15.13986,1428.0,0.90826,
9606.ENSP00000354739,9.223372036854777E13,1.69407,68.0,68.0,53.028,13.0,0.5,132.0,2.36735,41.08793,4236.0,0.96971,
9606.ENSP00000404375,9.223372036854777E13,1.72704,68.0,68.0,53.395,1.0,0.33333,119.83333,1.9949,0.83963,60.0,0.98859,
9606.ENSP00000452763,9.223372036854777E13,1.72704,68.0,69.0,53.97,1.0,0.33333,132.16667,2.36224,120.04257,4164.0,0.95993,
9606.ENSP00000431822,9.223372036854777E13,1.72704,68.0,68.0,53.113,1.0,0.33333,119.83333,1.9949,0.83963,60.0,0.98859,
9606.ENSP00000386655,9.223372036854777E13,1.72704,68.0,68.0,55.654,1.0,0.33333,119.83333,1.9949,0.83963,60.0,0.98859,
9606.ENSP00000265195,9.223372036854777E13,1.66256,67.0,67.0,57.213,6.0,0.5,131.5,2.36224,60.77586,6518.0,0.95613,
9606.ENSP00000209728,9.223372036854777E13,1.84678,124.0,124.0,117.324,1.0,0.5,160.0,2.65306,62.69657,6202.0,0.87687,
9606.ENSP00000378356,9.223372036854777E13,1.83321,128.0,128.0,119.979,3.0,0.5,162.0,2.67347,192.43721,6838.0,0.86196,
9606.ENSP00000353770,9.223372036854777E13,1.8581,124.0,124.0,115.18,1.0,0.33333,155.83333,2.52551,24.71688,2248.0,0.88224,
9606.ENSP00000493712,9.223372036854777E13,1.80926,121.0,121.0,114.618,2.0,0.5,158.5,2.63776,187.71538,9578.0,0.86556,
9606.ENSP00000362208,9.223372036854777E13,1.6732,70.0,70.0,52.689,2.0,0.33333,131.33333,2.32653,57.04337,5672.0,0.94907,
