node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
9606.ENSP00000261712,44.0,0.43905,7.0,9.0,69.642,7.0,0.16667,82.46667,7.75417,1924.29398,7018.0,0.33333,
9606.ENSP00000404121,11.0,0.32413,5.0,6.0,49.281,1.0,0.14286,71.70238,7.27083,327.76844,1314.0,0.33333,
9606.ENSP00000351214,14.0,0.38896,5.0,5.0,37.25,4.0,0.14286,67.45476,7.025,566.26345,2594.0,0.6,
9606.ENSP00000354607,8.7178291202E10,1.02476,14.0,16.0,50.45,14.0,0.14286,73.0119,7.04167,2670.74496,5176.0,0.76667,
9606.ENSP00000487719,9.223372036854777E13,1.13329,22.0,22.0,101.816,1.0,0.14286,80.52857,7.28333,124.22898,2640.0,0.93939,
9606.ENSP00000397415,2.0,0.0,1.0,2.0,14.586,3.0,0.14286,56.67619,6.3875,525.48161,1466.0,0.0,
9606.ENSP00000300900,4.0,0.30779,2.0,4.0,30.258,2.0,0.125,61.4381,6.625,279.91241,1062.0,0.33333,
9606.ENSP00000385432,9.223372036854777E13,0.92731,20.0,20.0,103.996,1.0,0.14286,85.30238,7.59167,514.8212,5834.0,0.79474,
9606.ENSP00000341779,2.0,0.0,1.0,2.0,36.29,1.0,0.14286,69.6881,7.175,97.19008,602.0,0.0,
9606.ENSP00000233948,8.7178291201E10,1.02476,14.0,15.0,51.25,2.0,0.125,68.35,6.725,810.73219,3882.0,0.86667,
9606.ENSP00000380661,721.0,0.71324,6.0,7.0,44.005,1.0,0.125,63.61429,6.675,192.63404,860.0,0.71429,
9606.ENSP00000326042,9.223372036854777E13,1.13329,22.0,22.0,101.785,2.0,0.14286,80.52857,7.28333,124.22898,2640.0,0.93939,
9606.ENSP00000364639,8.0,0.37893,4.0,4.0,27.667,2.0,0.125,60.55476,6.58333,203.21323,948.0,0.66667,
9606.ENSP00000418525,5.0,0.30779,2.0,5.0,55.597,3.0,0.125,71.02143,7.2,1802.94253,11456.0,0.1,
9606.ENSP00000339479,5040.0,0.76834,7.0,7.0,71.183,1.0,0.16667,72.96667,7.35833,0.0,0.0,1.0,
