node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
9606.ENSP00000352785,2.0922789888002E13,1.0769,16.0,18.0,129.448,3.0,0.16667,85.86667,6.57661,2446.96509,8114.0,0.78431,
9606.ENSP00000245923,725760.0,0.87792,10.0,10.0,95.278,1.0,0.125,61.75357,5.27419,0.22222,2.0,0.97778,
9606.ENSP00000480763,3628801.0,0.89787,10.0,11.0,83.551,4.0,0.125,65.65714,5.43145,628.61295,1850.0,0.81818,
9606.ENSP00000221855,2.0,0.30779,2.0,2.0,5.359,1.0,0.11111,40.96508,3.46371,0.0,0.0,1.0,
9606.ENSP00000229332,5.0,0.30898,3.0,4.0,31.189,4.0,0.125,56.63929,5.14113,509.08245,1718.0,0.33333,
9606.ENSP00000396320,3.0,0.30779,2.0,3.0,61.39,3.0,0.14286,62.02619,5.6129,680.19482,2706.0,0.33333,
9606.ENSP00000229330,2.0,0.30779,2.0,2.0,20.223,1.0,0.11111,47.3377,4.28629,0.0,0.0,1.0,
9606.ENSP00000386892,5.0,0.0,1.0,5.0,97.832,6.0,0.16667,76.3,6.28629,1658.39598,4586.0,0.0,
9606.ENSP00000324419,120.0,0.64826,5.0,5.0,79.564,1.0,0.125,62.86786,5.6129,0.0,0.0,1.0,
9606.ENSP00000404122,8.0,0.46346,3.0,5.0,35.608,3.0,0.125,57.86548,5.20968,921.5465,2326.0,0.3,
9606.ENSP00000351338,4.0,0.30779,2.0,4.0,75.429,4.0,0.125,67.67143,5.875,1037.84721,2510.0,0.16667,
9606.ENSP00000348602,4.0,0.30779,2.0,4.0,84.57,5.0,0.16667,74.18333,6.30645,1013.98702,3544.0,0.16667,
9606.ENSP00000212355,481.0,0.69516,7.0,8.0,100.951,7.0,0.14286,69.27143,5.91935,907.84451,3538.0,0.67857,
9606.ENSP00000306330,7.0,0.30779,2.0,7.0,95.632,13.0,0.14286,82.27619,6.59677,4653.27965,11318.0,0.04762,
9606.ENSP00000416583,2.0,0.0,1.0,2.0,38.22,1.0,0.11111,54.15437,5.00403,48.39928,206.0,0.0,
9606.ENSP00000270538,26.0,0.45378,5.0,5.0,45.152,3.0,0.14286,57.78333,5.16935,344.22868,1324.0,0.7,
9606.ENSP00000251119,725763.0,0.76356,11.0,12.0,95.45,2.0,0.14286,66.17381,5.52016,556.82508,3376.0,0.68182,
9606.ENSP00000401645,3.0,0.30779,2.0,3.0,36.394,3.0,0.14286,59.1619,5.33468,1031.98588,3850.0,0.33333,
9606.ENSP00000368318,4.0,0.30898,3.0,3.0,37.096,1.0,0.11111,49.86032,4.47581,0.4,2.0,0.66667,
9606.ENSP00000348056,11.0,0.46346,3.0,8.0,76.098,8.0,0.14286,71.37143,5.97581,3069.71367,7526.0,0.14286,
9606.ENSP00000378485,2.0,0.0,1.0,2.0,50.505,1.0,0.14286,63.14286,5.74597,142.47514,428.0,0.0,
9606.ENSP00000254868,2.0,0.30779,2.0,2.0,19.636,1.0,0.125,50.15,4.67742,0.0,0.0,1.0,
9606.ENSP00000296343,2.0,0.0,1.0,2.0,51.509,1.0,0.14286,58.84286,5.32661,38.06608,186.0,0.0,
9606.ENSP00000356237,122.0,0.52304,6.0,6.0,85.14,1.0,0.125,64.54405,5.70565,42.11303,174.0,0.73333,
9606.ENSP00000373574,2401.0,0.71599,9.0,10.0,104.054,3.0,0.14286,73.88571,6.14113,1179.61093,4128.0,0.66667,
9606.ENSP00000352798,2.0,0.0,1.0,2.0,40.415,1.0,0.125,61.75595,5.58468,315.70189,1000.0,0.0,
9606.ENSP00000215727,19.0,0.38039,6.0,7.0,42.526,4.0,0.14286,59.27619,5.16129,897.44217,3294.0,0.38095,
9606.ENSP00000265071,3.99168E7,0.93324,11.0,11.0,122.539,1.0,0.14286,72.83095,6.0121,0.0,0.0,1.0,
9606.ENSP00000306461,2.0922789888001E13,1.0769,16.0,17.0,129.44,2.0,0.14286,82.10952,6.42742,514.51356,1332.0,0.88235,
9606.ENSP00000266041,9.0,0.46346,3.0,6.0,34.214,2.0,0.125,53.94643,4.70161,885.41761,3020.0,0.2,
