"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RP4-669L17.8",351.820964417614,1.69237538382921,0.241877264982206,6.99683529145951,2.61808761423592e-12,3.27414796050372e-11
"RP4-669L17.10",161.961161492154,1.18112505859267,0.220672622257392,5.35238602102171,8.68019783953367e-08,4.78805752270556e-07
"U6.82",0.644382245758051,1.38274023303731,0.628664032573802,2.1994899682367,0.0278431016731057,0.0491056286551754
"RP5-857K21.2",1.20888334388309,1.2212453541435,0.529955554707111,2.30442976452702,0.0211985307823748,0.0386113216627621
"MTND2P28",88015.126153777,1.61507102587315,0.32267382710826,5.00527433646264,5.57825283719583e-07,2.63816925539874e-06
"MIR6723",12784.5641667743,1.56115816250877,0.33973085837723,4.59527924535867,4.32170113177301e-06,1.72009524307996e-05
"MTCO1P12",386576.266223943,1.55665423728294,0.323297274237223,4.81493152379852,1.47250374993573e-06,6.42233737732692e-06
"MTCO2P12",14695.4896464343,1.84754974841702,0.313289047294969,5.89726887795574,3.69567383924998e-09,2.64877418826308e-08
"MTATP8P1",1631.17288442425,1.38702140733954,0.33050611716058,4.1966588069704,2.70881542619325e-05,9.26450695311851e-05
"MTATP6P1",179376.990870956,1.40562478957543,0.312490608399819,4.49813450962016,6.85523225638262e-06,2.62484244839982e-05
"MTCO3P12",28530.7128655515,1.55942425819313,0.321562709796504,4.84951833867799,1.2376162776224e-06,5.46759437715182e-06
"CICP3",45.0912576477277,1.1262385292144,0.245108849166389,4.59485054515459,4.33059543721699e-06,1.72291926313672e-05
"RP11-206L10.4",1.81870611831377,1.70996825739077,0.533678860275608,3.20411465522109,0.00135478512700414,0.00326557363367529
"RP11-206L10.2",978.834487411171,1.26304656011894,0.201468428580636,6.26920341324554,3.62899804250331e-10,3.11423962840988e-09
"RP11-206L10.9",277.533396117344,1.45416377968499,0.187793056029136,7.74343743284832,9.67644154333958e-15,1.83457808456216e-13
"LINC00115",52.2474893913524,1.75030287108723,0.225788216425249,7.75196730280517,9.04796914671807e-15,1.72683141726024e-13
"LINC01128",560.242454223074,-1.02167793210246,0.166378487033024,-6.14068531528156,8.21662154427569e-10,6.64620313988807e-09
"RP11-54O7.1",332.348666422881,3.9609468606641,0.442689816611011,8.94745420390946,3.63774817179081e-19,1.40139638943044e-17
"RP11-54O7.2",67.7900587414619,4.43278226114699,0.490770934945329,9.03228358794474,1.68126065103961e-19,6.82842801314943e-18
"RP11-54O7.16",29.0893463740253,4.23614032940875,0.509544270260275,8.31358642742647,9.2852341228669e-17,2.47287784189923e-15
"RP11-54O7.3",243.234076377386,1.16981313936797,0.314933896772814,3.71447199350486,0.000203628419019754,0.000582934587478981
"SAMD11",771.161415372713,1.15789320440861,0.1826976200283,6.33775746082104,2.33133433798918e-10,2.06886480308769e-09
"KLHL17",1918.58900659093,1.80374003402088,0.201911770005397,8.93330801851061,4.13456492337286e-19,1.58133898846413e-17
"PLEKHN1",1884.81538869498,2.56255690287473,0.318677571599197,8.0412213825254,8.8947393518639e-16,2.01287615247638e-14
"PERM1",680.003526259381,3.0391783026187,0.339569224097534,8.95009938163819,3.55162455375808e-19,1.37244476916119e-17
"RP11-54O7.17",1561.87974282349,2.41012702589934,0.353943448275366,6.80935623372317,9.80364475164438e-12,1.10875656337386e-10
"HES4",2730.24703937367,1.49783393328403,0.246895644163145,6.06666811948404,1.30591019028417e-09,1.01927261253047e-08
"RP11-54O7.10",3.81927998130915,2.27507772135836,0.451614479238578,5.03765451717611,4.71271081525161e-07,2.25984535738357e-06
