ENSG00000000003
ENSG00000000005
ENSG00000000457
ENSG00000000460
ENSG00000000971
ENSG00000001084
ENSG00000001167
ENSG00000001497
ENSG00000001561
ENSG00000001617
ENSG00000001629
ENSG00000002016
ENSG00000002549
ENSG00000002726
ENSG00000002745
ENSG00000002822
ENSG00000002834
ENSG00000002919
ENSG00000003056
ENSG00000003096
ENSG00000003137
ENSG00000003147
ENSG00000003249
ENSG00000003393
ENSG00000003400
ENSG00000003436
ENSG00000003509
ENSG00000003989
ENSG00000004059
ENSG00000004139
ENSG00000004399
ENSG00000004455
ENSG00000004534
ENSG00000004766
ENSG00000004776
ENSG00000004777
ENSG00000004779
ENSG00000004799
ENSG00000004809
ENSG00000004846
ENSG00000004864
ENSG00000004866
ENSG00000004897
ENSG00000004939
ENSG00000004948
ENSG00000004975
ENSG00000005001
ENSG00000005007
ENSG00000005020
ENSG00000005059
ENSG00000005073
ENSG00000005075
ENSG00000005100
ENSG00000005102
ENSG00000005108
ENSG00000005175
ENSG00000005189
ENSG00000005206
ENSG00000005243
ENSG00000005249
ENSG00000005302
ENSG00000005339
ENSG00000005381
ENSG00000005421
ENSG00000005448
ENSG00000005469
ENSG00000005513
ENSG00000005801
ENSG00000005810
ENSG00000005812
ENSG00000005844
ENSG00000005882
ENSG00000005884
ENSG00000005889
ENSG00000005961
ENSG00000005981
ENSG00000006015
ENSG00000006016
ENSG00000006042
ENSG00000006047
ENSG00000006071
ENSG00000006116
ENSG00000006118
ENSG00000006125
ENSG00000006128
ENSG00000006210
ENSG00000006283
ENSG00000006327
ENSG00000006377
ENSG00000006432
ENSG00000006453
ENSG00000006468
ENSG00000006530
ENSG00000006555
ENSG00000006576
ENSG00000006611
ENSG00000006625
ENSG00000006634
ENSG00000006638
ENSG00000006652
ENSG00000006695
ENSG00000006704
ENSG00000006715
ENSG00000006756
ENSG00000006757
ENSG00000006788
ENSG00000006831
ENSG00000006837
ENSG00000007038
ENSG00000007047
ENSG00000007080
ENSG00000007168
ENSG00000007174
ENSG00000007202
ENSG00000007216
ENSG00000007237
ENSG00000007255
ENSG00000007264
ENSG00000007312
ENSG00000007314
ENSG00000007350
ENSG00000007372
ENSG00000007376
ENSG00000007384
ENSG00000007392
ENSG00000007402
ENSG00000007516
ENSG00000007541
ENSG00000007866
ENSG00000007908
ENSG00000007923
ENSG00000007944
ENSG00000007952
ENSG00000007968
ENSG00000008018
ENSG00000008056
ENSG00000008083
ENSG00000008118
ENSG00000008128
ENSG00000008226
ENSG00000008256
ENSG00000008277
ENSG00000008282
ENSG00000008283
ENSG00000008294
ENSG00000008300
ENSG00000008311
ENSG00000008324
ENSG00000008394
ENSG00000008405
ENSG00000008438
ENSG00000008441
ENSG00000008516
ENSG00000008517
ENSG00000008735
ENSG00000008853
ENSG00000008869
ENSG00000008952
ENSG00000008988
ENSG00000009307
ENSG00000009724
ENSG00000009790
ENSG00000009950
ENSG00000009954
ENSG00000010030
ENSG00000010219
ENSG00000010270
ENSG00000010282
ENSG00000010292
ENSG00000010310
ENSG00000010318
ENSG00000010319
ENSG00000010322
ENSG00000010327
ENSG00000010379
ENSG00000010404
ENSG00000010438
ENSG00000010539
ENSG00000010610
ENSG00000010626
ENSG00000010671
ENSG00000010704
ENSG00000010803
ENSG00000010810
ENSG00000010818
ENSG00000010932
ENSG00000011007
ENSG00000011009
ENSG00000011021
ENSG00000011028
ENSG00000011052
ENSG00000011083
ENSG00000011105
ENSG00000011114
ENSG00000011132
ENSG00000011198
ENSG00000011201
ENSG00000011243
ENSG00000011295
ENSG00000011332
ENSG00000011376
ENSG00000011405
ENSG00000011422
ENSG00000011426
ENSG00000011465
ENSG00000011478
ENSG00000011485
ENSG00000011523
ENSG00000011566
ENSG00000011590
ENSG00000011600
ENSG00000011638
ENSG00000011677
ENSG00000012048
ENSG00000012061
ENSG00000012124
ENSG00000012174
ENSG00000012223
ENSG00000012232
ENSG00000012660
ENSG00000012822
ENSG00000012963
ENSG00000013016
ENSG00000013275
ENSG00000013288
ENSG00000013297
ENSG00000013306
ENSG00000013375
ENSG00000013503
ENSG00000013523
ENSG00000013561
ENSG00000013573
ENSG00000013583
ENSG00000013588
ENSG00000013725
ENSG00000013810
ENSG00000014138
ENSG00000014164
ENSG00000014641
ENSG00000014824
ENSG00000014914
ENSG00000014919
ENSG00000015133
ENSG00000015153
ENSG00000015171
ENSG00000015285
ENSG00000015413
ENSG00000015475
ENSG00000015479
ENSG00000015532
ENSG00000015676
ENSG00000016402
ENSG00000016864
ENSG00000017427
ENSG00000017483
ENSG00000017797
ENSG00000018189
ENSG00000018236
ENSG00000018280
ENSG00000018510
ENSG00000018625
ENSG00000018869
ENSG00000019144
ENSG00000019485
ENSG00000019505
ENSG00000019991
ENSG00000019995
ENSG00000020181
ENSG00000020426
ENSG00000020577
ENSG00000020633
ENSG00000021300
ENSG00000021355
ENSG00000021461
ENSG00000021488
ENSG00000021645
ENSG00000021762
ENSG00000021776
ENSG00000021826
ENSG00000022267
ENSG00000022556
ENSG00000022567
ENSG00000022840
ENSG00000023191
ENSG00000023228
ENSG00000023287
ENSG00000023330
ENSG00000023445
ENSG00000023516
ENSG00000023572
ENSG00000023697
ENSG00000023839
ENSG00000023892
ENSG00000023902
ENSG00000024422
ENSG00000024526
ENSG00000024862
ENSG00000025039
ENSG00000025423
ENSG00000025708
ENSG00000025770
ENSG00000025772
ENSG00000025796
ENSG00000026025
ENSG00000026036
ENSG00000026103
ENSG00000026297
ENSG00000026559
ENSG00000026652
ENSG00000026751
ENSG00000027001
ENSG00000027075
ENSG00000027644
ENSG00000027697
ENSG00000027869
ENSG00000028116
ENSG00000028137
ENSG00000028277
ENSG00000028310
ENSG00000028528
ENSG00000029153
ENSG00000029364
ENSG00000029559
ENSG00000029639
ENSG00000029725
ENSG00000029993
ENSG00000030110
ENSG00000031003
ENSG00000031081
ENSG00000031691
ENSG00000032389
ENSG00000033030
ENSG00000033122
ENSG00000033170
ENSG00000033327
ENSG00000033627
ENSG00000033800
ENSG00000033867
ENSG00000034053
ENSG00000034152
ENSG00000034239
ENSG00000034510
ENSG00000034677
ENSG00000034693
ENSG00000034713
ENSG00000034971
ENSG00000035115
ENSG00000035141
ENSG00000035403
ENSG00000035499
ENSG00000035687
ENSG00000035720
ENSG00000035862
ENSG00000036257
ENSG00000036448
ENSG00000036473
ENSG00000036549
ENSG00000036565
ENSG00000036672
ENSG00000037241
ENSG00000037280
ENSG00000037474
ENSG00000037637
ENSG00000037749
ENSG00000037897
ENSG00000038219
ENSG00000038274
ENSG00000038295
ENSG00000039123
ENSG00000039319
ENSG00000039523
ENSG00000039537
ENSG00000039560
ENSG00000039600
ENSG00000039650
ENSG00000040275
ENSG00000040341
ENSG00000040487
ENSG00000040608
ENSG00000041353
ENSG00000041357
ENSG00000041515
ENSG00000041802
ENSG00000041880
