"gene_name"
"ENSG00000000003.14"
"ENSG00000000005.5"
"ENSG00000000457.13"
"ENSG00000000460.16"
"ENSG00000000971.15"
"ENSG00000001084.10"
"ENSG00000001167.14"
"ENSG00000001497.16"
"ENSG00000001561.6"
"ENSG00000001617.11"
"ENSG00000001629.9"
"ENSG00000002016.17"
"ENSG00000002549.12"
"ENSG00000002726.20"
"ENSG00000002745.12"
"ENSG00000002822.15"
"ENSG00000002834.17"
"ENSG00000002919.14"
"ENSG00000003056.7"
"ENSG00000003096.14"
"ENSG00000003137.8"
"ENSG00000003147.17"
"ENSG00000003249.13"
"ENSG00000003393.14"
"ENSG00000003400.14"
"ENSG00000003436.15"
"ENSG00000003509.15"
"ENSG00000003989.17"
"ENSG00000004059.10"
"ENSG00000004139.13"
"ENSG00000004399.12"
"ENSG00000004455.16"
"ENSG00000004534.14"
"ENSG00000004766.15"
"ENSG00000004776.12"
"ENSG00000004777.18"
"ENSG00000004779.9"
"ENSG00000004799.7"
"ENSG00000004809.13"
"ENSG00000004846.16"
"ENSG00000004864.13"
"ENSG00000004866.20"
"ENSG00000004897.11"
"ENSG00000004939.13"
"ENSG00000004948.13"
"ENSG00000004975.11"
"ENSG00000005001.9"
"ENSG00000005007.12"
"ENSG00000005020.12"
"ENSG00000005059.15"
"ENSG00000005073.5"
"ENSG00000005075.15"
"ENSG00000005100.12"
"ENSG00000005102.12"
"ENSG00000005108.15"
"ENSG00000005175.9"
"ENSG00000005189.19"
"ENSG00000005206.16"
"ENSG00000005243.9"
"ENSG00000005249.12"
"ENSG00000005302.17"
"ENSG00000005339.14"
"ENSG00000005381.7"
"ENSG00000005421.8"
"ENSG00000005448.16"
"ENSG00000005469.11"
"ENSG00000005513.9"
"ENSG00000005801.16"
"ENSG00000005810.17"
"ENSG00000005812.10"
"ENSG00000005844.17"
"ENSG00000005882.11"
"ENSG00000005884.17"
"ENSG00000005889.15"
"ENSG00000005961.17"
"ENSG00000005981.12"
"ENSG00000006015.17"
"ENSG00000006016.10"
"ENSG00000006042.11"
"ENSG00000006047.12"
"ENSG00000006071.12"
"ENSG00000006116.3"
"ENSG00000006118.14"
"ENSG00000006125.17"
"ENSG00000006128.11"
"ENSG00000006210.6"
"ENSG00000006283.17"
"ENSG00000006327.13"
"ENSG00000006377.10"
"ENSG00000006432.15"
"ENSG00000006453.13"
"ENSG00000006468.13"
"ENSG00000006530.15"
"ENSG00000006555.10"
"ENSG00000006576.16"
"ENSG00000006611.15"
"ENSG00000006625.17"
"ENSG00000006634.7"
"ENSG00000006638.11"
"ENSG00000006652.13"
"ENSG00000006695.10"
"ENSG00000006704.10"
"ENSG00000006715.15"
"ENSG00000006756.15"
"ENSG00000006757.11"
"ENSG00000006788.13"
"ENSG00000006831.9"
"ENSG00000006837.11"
"ENSG00000007038.10"
"ENSG00000007047.14"
"ENSG00000007080.10"
"ENSG00000007168.12"
"ENSG00000007174.17"
"ENSG00000007202.14"
"ENSG00000007216.14"
"ENSG00000007237.18"
"ENSG00000007255.10"
"ENSG00000007264.14"
"ENSG00000007312.12"
"ENSG00000007314.12"
"ENSG00000007350.16"
"ENSG00000007372.21"
